variable_name,variable_content,question_number,likert,valuation_signing,grouping_variable,variable_type,comment_1,comment_2,grouping_variable_detailed,grouping_variable_aggregate2,scale_value,scale_value_2022,variable_name_previously,grouping_variable_aggregate_PAP,grouping_variable_disaggregate_PAP,grouping_variable_name_aggregate2,grouping_variable_name_detailed,binary_classification_1,binary_classification_0,include,grouping_variable_very_detailed
Q13_10,"Below is a list of the names you provided on the prior page. Please answer the questions below about each person you named.
How frequently are you in contact with each person? - Person 11",105,1,-1,social_network,ordinal,,Only 19 persons due to person 11 included twice instead of person 19,,social_network,7,7,Q13_x10,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_frequency
Q13_11,"Below is a list of the names you provided on the prior page. Please answer the questions below about each person you named.
How frequently are you in contact with each person? - Person 11",106,1,-1,social_network,ordinal,,Only 19 persons due to person 11 included twice instead of person 20,,social_network,7,7,Q13_x10,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_frequency
Q13_12,"Below is a list of the names you provided on the prior page. Please answer the questions below about each person you named.
How frequently are you in contact with each person? - Person 12",107,1,-1,social_network,ordinal,,Only 19 persons due to person 11 included twice instead of person 21,,social_network,7,7,Q13_x11,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_frequency
Q13_13,"Below is a list of the names you provided on the prior page. Please answer the questions below about each person you named.
How frequently are you in contact with each person? - Person 13",108,1,-1,social_network,ordinal,,Only 19 persons due to person 11 included twice instead of person 22,,social_network,7,7,Q13_x12,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_frequency
Q13_14,"Below is a list of the names you provided on the prior page. Please answer the questions below about each person you named.
How frequently are you in contact with each person? - Person 14",109,1,-1,social_network,ordinal,,Only 19 persons due to person 11 included twice instead of person 23,,social_network,7,7,Q13_x13,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_frequency
Q13_15,"Below is a list of the names you provided on the prior page. Please answer the questions below about each person you named.
How frequently are you in contact with each person? - Person 15",110,1,-1,social_network,ordinal,,Only 19 persons due to person 11 included twice instead of person 24,,social_network,7,7,Q13_x14,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_frequency
Q13_16,"Below is a list of the names you provided on the prior page. Please answer the questions below about each person you named.
How frequently are you in contact with each person? - Person 16",111,1,-1,social_network,ordinal,,Only 19 persons due to person 11 included twice instead of person 25,,social_network,7,7,Q13_x15,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_frequency
Q13_17,"Below is a list of the names you provided on the prior page. Please answer the questions below about each person you named.
How frequently are you in contact with each person? - Person 17",112,1,-1,social_network,ordinal,,Only 19 persons due to person 11 included twice instead of person 26,,social_network,7,7,Q13_x16,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_frequency
Q13_18,"Below is a list of the names you provided on the prior page. Please answer the questions below about each person you named.
How frequently are you in contact with each person? - Person 18",113,1,-1,social_network,ordinal,,Only 19 persons due to person 11 included twice instead of person 27,,social_network,7,7,Q13_x17,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_frequency
Q13_19,"Below is a list of the names you provided on the prior page. Please answer the questions below about each person you named.
How frequently are you in contact with each person? - Person 19",114,1,-1,social_network,ordinal,,Only 19 persons due to person 11 included twice instead of person 28,,social_network,7,7,Q13_x18,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_frequency
Q13_20,"Below is a list of the names you provided on the prior page. Please answer the questions below about each person you named.
How frequently are you in contact with each person? - Person 19",114,1,-1,social_network,ordinal,,Only 19 persons due to person 11 included twice instead of person 28,,social_network,7,7,,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_frequency
Q14_1,"Please select whether you agree or disagree with the following statements.
This person is close to you. - Person 1",116,1,-1,social_network,ordinal,"numbers 2,3,4 are missing. scale consists of 1, 5,6,7,8,9,10.",Only 19 persons due to person 11 included twice instead of person 30,,social_network,7,7,Q14_x1,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_closeness
Q14_2,"Please select whether you agree or disagree with the following statements.
This person is close to you. - Person 2",117,1,-1,social_network,ordinal,"numbers 2,3,4 are missing. scale consists of 1, 5,6,7,8,9,10.",Only 19 persons due to person 11 included twice instead of person 31,,social_network,7,7,Q14_x2,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_closeness
Q14_3,"Please select whether you agree or disagree with the following statements.
This person is close to you. - Person 3",118,1,-1,social_network,ordinal,"numbers 2,3,4 are missing. scale consists of 1, 5,6,7,8,9,10.",Only 19 persons due to person 11 included twice instead of person 32,,social_network,7,7,Q14_x3,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_closeness
Q14_4,"Please select whether you agree or disagree with the following statements.
This person is close to you. - Person 4",119,1,-1,social_network,ordinal,"numbers 2,3,4 are missing. scale consists of 1, 5,6,7,8,9,10.",Only 19 persons due to person 11 included twice instead of person 33,,social_network,7,7,Q14_x4,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_closeness
Q14_5,"Please select whether you agree or disagree with the following statements.
This person is close to you. - Person 5",120,1,-1,social_network,ordinal,"numbers 2,3,4 are missing. scale consists of 1, 5,6,7,8,9,10.",Only 19 persons due to person 11 included twice instead of person 34,,social_network,7,7,Q14_x5,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_closeness
Q14_6,"Please select whether you agree or disagree with the following statements.
This person is close to you. - Person 6",121,1,-1,social_network,ordinal,"numbers 2,3,4 are missing. scale consists of 1, 5,6,7,8,9,10.",Only 19 persons due to person 11 included twice instead of person 35,,social_network,7,7,Q14_x6,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_closeness
Q14_7,"Please select whether you agree or disagree with the following statements.
This person is close to you. - Person 7",122,1,-1,social_network,ordinal,"numbers 2,3,4 are missing. scale consists of 1, 5,6,7,8,9,10.",Only 19 persons due to person 11 included twice instead of person 36,,social_network,7,7,Q14_x7,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_closeness
Q14_8,"Please select whether you agree or disagree with the following statements.
This person is close to you. - Person 8",123,1,-1,social_network,ordinal,"numbers 2,3,4 are missing. scale consists of 1, 5,6,7,8,9,10.",Only 19 persons due to person 11 included twice instead of person 37,,social_network,7,7,Q14_x8,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_closeness
Q14_9,"Please select whether you agree or disagree with the following statements.
This person is close to you. - Person 9",124,1,-1,social_network,ordinal,"numbers 2,3,4 are missing. scale consists of 1, 5,6,7,8,9,10.",Only 19 persons due to person 11 included twice instead of person 38,,social_network,7,7,Q14_x9,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_closeness
Q14_10,"Please select whether you agree or disagree with the following statements.
This person is close to you. - Person 11",125,1,-1,social_network,ordinal,"numbers 2,3,4 are missing. scale consists of 1, 5,6,7,8,9,10.",Only 19 persons due to person 11 included twice instead of person 39,,social_network,7,7,Q14_x10,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_closeness
Q14_11,"Please select whether you agree or disagree with the following statements.
This person is close to you. - Person 11",126,1,-1,social_network,ordinal,"numbers 2,3,4 are missing. scale consists of 1, 5,6,7,8,9,10.",Only 19 persons due to person 11 included twice instead of person 40,,social_network,7,7,Q14_x10,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_closeness
Q14_12,"Please select whether you agree or disagree with the following statements.
This person is close to you. - Person 12",127,1,-1,social_network,ordinal,"numbers 2,3,4 are missing. scale consists of 1, 5,6,7,8,9,10.",Only 19 persons due to person 11 included twice instead of person 41,,social_network,7,7,Q14_x11,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_closeness
Q14_13,"Please select whether you agree or disagree with the following statements.
This person is close to you. - Person 13",128,1,-1,social_network,ordinal,"numbers 2,3,4 are missing. scale consists of 1, 5,6,7,8,9,10.",Only 19 persons due to person 11 included twice instead of person 42,,social_network,7,7,Q14_x12,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_closeness
Q14_14,"Please select whether you agree or disagree with the following statements.
This person is close to you. - Person 14",129,1,-1,social_network,ordinal,"numbers 2,3,4 are missing. scale consists of 1, 5,6,7,8,9,10.",Only 19 persons due to person 11 included twice instead of person 43,,social_network,7,7,Q14_x13,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_closeness
Q14_15,"Please select whether you agree or disagree with the following statements.
This person is close to you. - Person 15",130,1,-1,social_network,ordinal,"numbers 2,3,4 are missing. scale consists of 1, 5,6,7,8,9,10.",Only 19 persons due to person 11 included twice instead of person 44,,social_network,7,7,Q14_x14,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_closeness
Q14_16,"Please select whether you agree or disagree with the following statements.
This person is close to you. - Person 16",131,1,-1,social_network,ordinal,"numbers 2,3,4 are missing. scale consists of 1, 5,6,7,8,9,10.",Only 19 persons due to person 11 included twice instead of person 45,,social_network,7,7,Q14_x15,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_closeness
Q14_17,"Please select whether you agree or disagree with the following statements.
This person is close to you. - Person 17",132,1,-1,social_network,ordinal,"numbers 2,3,4 are missing. scale consists of 1, 5,6,7,8,9,10.",Only 19 persons due to person 11 included twice instead of person 46,,social_network,7,7,Q14_x16,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_closeness
Q14_18,"Please select whether you agree or disagree with the following statements.
This person is close to you. - Person 18",133,1,-1,social_network,ordinal,"numbers 2,3,4 are missing. scale consists of 1, 5,6,7,8,9,10.",Only 19 persons due to person 11 included twice instead of person 47,,social_network,7,7,Q14_x17,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_closeness
Q14_19,"Please select whether you agree or disagree with the following statements.
This person is close to you. - Person 19",134,1,-1,social_network,ordinal,"numbers 2,3,4 are missing. scale consists of 1, 5,6,7,8,9,10.",Only 19 persons due to person 11 included twice instead of person 48,,social_network,7,7,Q14_x18,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_closeness
Q14_20,"Please select whether you agree or disagree with the following statements.
This person is close to you. - Person 19",134,1,-1,social_network,ordinal,"numbers 2,3,4 are missing. scale consists of 1, 5,6,7,8,9,10.",Only 19 persons due to person 11 included twice instead of person 48,,social_network,7,7,,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_closeness
Q15_1,"Please select whether you agree or disagree with the following statements.
Compared to other people you know, this person is very valuable to you. - Person 1",136,1,-1,social_network,ordinal,"numbers 2,3,4,5 are missing. scale consists of 1,6,7,8,9,10,11.",Only 19 persons due to person 11 included twice instead of person 50,,social_network,7,7,Q15_x1,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_valuable
Q15_2,"Please select whether you agree or disagree with the following statements.
Compared to other people you know, this person is very valuable to you. - Person 2",137,1,-1,social_network,ordinal,"numbers 2,3,4,5 are missing. scale consists of 1,6,7,8,9,10,11.",Only 19 persons due to person 11 included twice instead of person 51,,social_network,7,7,Q15_x2,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_valuable
Q15_3,"Please select whether you agree or disagree with the following statements.
Compared to other people you know, this person is very valuable to you. - Person 3",138,1,-1,social_network,ordinal,"numbers 2,3,4,5 are missing. scale consists of 1,6,7,8,9,10,11.",Only 19 persons due to person 11 included twice instead of person 52,,social_network,7,7,Q15_x3,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_valuable
Q15_4,"Please select whether you agree or disagree with the following statements.
Compared to other people you know, this person is very valuable to you. - Person 4",139,1,-1,social_network,ordinal,"numbers 2,3,4,5 are missing. scale consists of 1,6,7,8,9,10,11.",Only 19 persons due to person 11 included twice instead of person 53,,social_network,7,7,Q15_x4,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_valuable
Q15_5,"Please select whether you agree or disagree with the following statements.
Compared to other people you know, this person is very valuable to you. - Person 5",140,1,-1,social_network,ordinal,"numbers 2,3,4,5 are missing. scale consists of 1,6,7,8,9,10,11.",Only 19 persons due to person 11 included twice instead of person 54,,social_network,7,7,Q15_x5,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_valuable
Q15_6,"Please select whether you agree or disagree with the following statements.
Compared to other people you know, this person is very valuable to you. - Person 6",141,1,-1,social_network,ordinal,"numbers 2,3,4,5 are missing. scale consists of 1,6,7,8,9,10,11.",Only 19 persons due to person 11 included twice instead of person 55,,social_network,7,7,Q15_x6,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_valuable
Q15_7,"Please select whether you agree or disagree with the following statements.
Compared to other people you know, this person is very valuable to you. - Person 7",142,1,-1,social_network,ordinal,"numbers 2,3,4,5 are missing. scale consists of 1,6,7,8,9,10,11.",Only 19 persons due to person 11 included twice instead of person 56,,social_network,7,7,Q15_x7,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_valuable
Q15_8,"Please select whether you agree or disagree with the following statements.
Compared to other people you know, this person is very valuable to you. - Person 8",143,1,-1,social_network,ordinal,"numbers 2,3,4,5 are missing. scale consists of 1,6,7,8,9,10,11.",Only 19 persons due to person 11 included twice instead of person 57,,social_network,7,7,Q15_x8,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_valuable
Q15_9,"Please select whether you agree or disagree with the following statements.
Compared to other people you know, this person is very valuable to you. - Person 9",144,1,-1,social_network,ordinal,"numbers 2,3,4,5 are missing. scale consists of 1,6,7,8,9,10,11.",Only 19 persons due to person 11 included twice instead of person 58,,social_network,7,7,Q15_x9,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_valuable
Q15_10,"Please select whether you agree or disagree with the following statements.
Compared to other people you know, this person is very valuable to you. - Person 11",145,1,-1,social_network,ordinal,"numbers 2,3,4,5 are missing. scale consists of 1,6,7,8,9,10,11.",Only 19 persons due to person 11 included twice instead of person 59,,social_network,7,7,Q15_x10,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_valuable
Q15_11,"Please select whether you agree or disagree with the following statements.
Compared to other people you know, this person is very valuable to you. - Person 11",146,1,-1,social_network,ordinal,"numbers 2,3,4,5 are missing. scale consists of 1,6,7,8,9,10,11.",Only 19 persons due to person 11 included twice instead of person 60,,social_network,7,7,Q15_x10,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_valuable
Q15_12,"Please select whether you agree or disagree with the following statements.
Compared to other people you know, this person is very valuable to you. - Person 12",147,1,-1,social_network,ordinal,"numbers 2,3,4,5 are missing. scale consists of 1,6,7,8,9,10,11.",Only 19 persons due to person 11 included twice instead of person 61,,social_network,7,7,Q15_x11,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_valuable
Q15_13,"Please select whether you agree or disagree with the following statements.
Compared to other people you know, this person is very valuable to you. - Person 13",148,1,-1,social_network,ordinal,"numbers 2,3,4,5 are missing. scale consists of 1,6,7,8,9,10,11.",Only 19 persons due to person 11 included twice instead of person 62,,social_network,7,7,Q15_x12,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_valuable
Q15_14,"Please select whether you agree or disagree with the following statements.
Compared to other people you know, this person is very valuable to you. - Person 14",149,1,-1,social_network,ordinal,"numbers 2,3,4,5 are missing. scale consists of 1,6,7,8,9,10,11.",Only 19 persons due to person 11 included twice instead of person 63,,social_network,7,7,Q15_x13,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_valuable
Q15_15,"Please select whether you agree or disagree with the following statements.
Compared to other people you know, this person is very valuable to you. - Person 15",150,1,-1,social_network,ordinal,"numbers 2,3,4,5 are missing. scale consists of 1,6,7,8,9,10,11.",Only 19 persons due to person 11 included twice instead of person 64,,social_network,7,7,Q15_x14,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_valuable
Q15_16,"Please select whether you agree or disagree with the following statements.
Compared to other people you know, this person is very valuable to you. - Person 16",151,1,-1,social_network,ordinal,"numbers 2,3,4,5 are missing. scale consists of 1,6,7,8,9,10,11.",Only 19 persons due to person 11 included twice instead of person 65,,social_network,7,7,Q15_x15,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_valuable
Q15_17,"Please select whether you agree or disagree with the following statements.
Compared to other people you know, this person is very valuable to you. - Person 17",152,1,-1,social_network,ordinal,"numbers 2,3,4,5 are missing. scale consists of 1,6,7,8,9,10,11.",Only 19 persons due to person 11 included twice instead of person 66,,social_network,7,7,Q15_x16,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_valuable
Q15_18,"Please select whether you agree or disagree with the following statements.
Compared to other people you know, this person is very valuable to you. - Person 18",153,1,-1,social_network,ordinal,"numbers 2,3,4,5 are missing. scale consists of 1,6,7,8,9,10,11.",Only 19 persons due to person 11 included twice instead of person 67,,social_network,7,7,Q15_x17,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_valuable
Q15_19,"Please select whether you agree or disagree with the following statements.
Compared to other people you know, this person is very valuable to you. - Person 19",154,1,-1,social_network,ordinal,"numbers 2,3,4,5 are missing. scale consists of 1,6,7,8,9,10,11.",Only 19 persons due to person 11 included twice instead of person 68,,social_network,7,7,Q15_x18,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_valuable
Q15_20,"Please select whether you agree or disagree with the following statements.
Compared to other people you know, this person is very valuable to you. - Person 19",154,1,-1,social_network,ordinal,"numbers 2,3,4,5 are missing. scale consists of 1,6,7,8,9,10,11.",Only 19 persons due to person 11 included twice instead of person 68,,social_network,7,7,,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_valuable
Q16_1,Which of the following best describes your relationship to each person? - Person 1,156,0,0,social_network,categorical,,Only 19 persons due to person 11 included twice instead of person 70,,social_network,5,5,Q16_x1,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_relationship
Q16_2,Which of the following best describes your relationship to each person? - Person 2,157,0,0,social_network,categorical,,Only 19 persons due to person 11 included twice instead of person 71,,social_network,5,5,Q16_x2,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_relationship
Q16_3,Which of the following best describes your relationship to each person? - Person 3,158,0,0,social_network,categorical,,Only 19 persons due to person 11 included twice instead of person 72,,social_network,5,5,Q16_x3,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_relationship
Q16_4,Which of the following best describes your relationship to each person? - Person 4,159,0,0,social_network,categorical,,Only 19 persons due to person 11 included twice instead of person 73,,social_network,5,5,Q16_x4,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_relationship
Q16_5,Which of the following best describes your relationship to each person? - Person 5,160,0,0,social_network,categorical,,Only 19 persons due to person 11 included twice instead of person 74,,social_network,5,5,Q16_x5,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_relationship
Q16_6,Which of the following best describes your relationship to each person? - Person 6,161,0,0,social_network,categorical,,Only 19 persons due to person 11 included twice instead of person 75,,social_network,5,5,Q16_x6,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_relationship
Q16_7,Which of the following best describes your relationship to each person? - Person 7,162,0,0,social_network,categorical,,Only 19 persons due to person 11 included twice instead of person 76,,social_network,5,5,Q16_x7,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_relationship
Q16_8,Which of the following best describes your relationship to each person? - Person 8,163,0,0,social_network,categorical,,Only 19 persons due to person 11 included twice instead of person 77,,social_network,5,5,Q16_x8,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_relationship
Q16_9,Which of the following best describes your relationship to each person? - Person 9,164,0,0,social_network,categorical,,Only 19 persons due to person 11 included twice instead of person 78,,social_network,5,5,Q16_x9,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_relationship
Q16_10,Which of the following best describes your relationship to each person? - Person 11,165,0,0,social_network,categorical,,Only 19 persons due to person 11 included twice instead of person 79,,social_network,5,5,Q16_x10,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_relationship
Q16_11,Which of the following best describes your relationship to each person? - Person 11,166,0,0,social_network,categorical,,Only 19 persons due to person 11 included twice instead of person 80,,social_network,5,5,Q16_x10,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_relationship
Q16_12,Which of the following best describes your relationship to each person? - Person 12,167,0,0,social_network,categorical,,Only 19 persons due to person 11 included twice instead of person 81,,social_network,5,5,Q16_x11,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_relationship
Q16_13,Which of the following best describes your relationship to each person? - Person 13,168,0,0,social_network,categorical,,Only 19 persons due to person 11 included twice instead of person 82,,social_network,5,5,Q16_x12,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_relationship
Q16_14,Which of the following best describes your relationship to each person? - Person 14,169,0,0,social_network,categorical,,Only 19 persons due to person 11 included twice instead of person 83,,social_network,5,5,Q16_x13,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_relationship
Q16_15,Which of the following best describes your relationship to each person? - Person 15,170,0,0,social_network,categorical,,Only 19 persons due to person 11 included twice instead of person 84,,social_network,5,5,Q16_x14,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_relationship
Q16_16,Which of the following best describes your relationship to each person? - Person 16,171,0,0,social_network,categorical,,Only 19 persons due to person 11 included twice instead of person 85,,social_network,5,5,Q16_x15,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_relationship
Q16_17,Which of the following best describes your relationship to each person? - Person 17,172,0,0,social_network,categorical,,Only 19 persons due to person 11 included twice instead of person 86,,social_network,5,5,Q16_x16,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_relationship
Q16_18,Which of the following best describes your relationship to each person? - Person 18,173,0,0,social_network,categorical,,Only 19 persons due to person 11 included twice instead of person 87,,social_network,5,5,Q16_x17,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_relationship
Q16_19,Which of the following best describes your relationship to each person? - Person 19,174,0,0,social_network,categorical,,Only 19 persons due to person 11 included twice instead of person 88,,social_network,5,5,Q16_x18,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_relationship
Q16_20,Which of the following best describes your relationship to each person? - Person 19,174,0,0,social_network,categorical,,Only 19 persons due to person 11 included twice instead of person 88,,social_network,5,5,,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_relationship
Q17_1,"Please select whether you agree or disagree with the following statements.
This contact is someone who looks up to me. - Person 1",176,1,-1,social_network,ordinal,"numbers 2,3, are missing. scale consists of 1,4,5,6,7,8,9.",Only 19 persons due to person 11 included twice instead of person 90,,social_network,7,7,Q17_x1,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_status
Q17_2,"Please select whether you agree or disagree with the following statements.
This contact is someone who looks up to me. - Person 2",177,1,-1,social_network,ordinal,"numbers 2,3, are missing. scale consists of 1,4,5,6,7,8,9.",Only 19 persons due to person 11 included twice instead of person 91,,social_network,7,7,Q17_x2,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_status
Q17_3,"Please select whether you agree or disagree with the following statements.
This contact is someone who looks up to me. - Person 3",178,1,-1,social_network,ordinal,"numbers 2,3, are missing. scale consists of 1,4,5,6,7,8,9.",Only 19 persons due to person 11 included twice instead of person 92,,social_network,7,7,Q17_x3,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_status
Q17_4,"Please select whether you agree or disagree with the following statements.
This contact is someone who looks up to me. - Person 4",179,1,-1,social_network,ordinal,"numbers 2,3, are missing. scale consists of 1,4,5,6,7,8,9.",Only 19 persons due to person 11 included twice instead of person 93,,social_network,7,7,Q17_x4,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_status
Q17_5,"Please select whether you agree or disagree with the following statements.
This contact is someone who looks up to me. - Person 5",180,1,-1,social_network,ordinal,"numbers 2,3, are missing. scale consists of 1,4,5,6,7,8,9.",Only 19 persons due to person 11 included twice instead of person 94,,social_network,7,7,Q17_x5,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_status
Q17_6,"Please select whether you agree or disagree with the following statements.
This contact is someone who looks up to me. - Person 6",181,1,-1,social_network,ordinal,"numbers 2,3, are missing. scale consists of 1,4,5,6,7,8,9.",Only 19 persons due to person 11 included twice instead of person 95,,social_network,7,7,Q17_x6,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_status
Q17_7,"Please select whether you agree or disagree with the following statements.
This contact is someone who looks up to me. - Person 7",182,1,-1,social_network,ordinal,"numbers 2,3, are missing. scale consists of 1,4,5,6,7,8,9.",Only 19 persons due to person 11 included twice instead of person 96,,social_network,7,7,Q17_x7,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_status
Q17_8,"Please select whether you agree or disagree with the following statements.
This contact is someone who looks up to me. - Person 8",183,1,-1,social_network,ordinal,"numbers 2,3, are missing. scale consists of 1,4,5,6,7,8,9.",Only 19 persons due to person 11 included twice instead of person 97,,social_network,7,7,Q17_x8,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_status
Q17_9,"Please select whether you agree or disagree with the following statements.
This contact is someone who looks up to me. - Person 9",184,1,-1,social_network,ordinal,"numbers 2,3, are missing. scale consists of 1,4,5,6,7,8,9.",Only 19 persons due to person 11 included twice instead of person 98,,social_network,7,7,Q17_x9,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_status
Q17_10,"Please select whether you agree or disagree with the following statements.
This contact is someone who looks up to me. - Person 11",185,1,-1,social_network,ordinal,"numbers 2,3, are missing. scale consists of 1,4,5,6,7,8,9.",Only 19 persons due to person 11 included twice instead of person 99,,social_network,7,7,Q17_x10,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_status
Q17_11,"Please select whether you agree or disagree with the following statements.
This contact is someone who looks up to me. - Person 11",186,1,-1,social_network,ordinal,"numbers 2,3, are missing. scale consists of 1,4,5,6,7,8,9.",Only 19 persons due to person 11 included twice instead of person 100,,social_network,7,7,Q17_x10,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_status
